HPO_id	phenotype_group_k1000	phenotype_group_k1500
HP:0001083	311	311
HP:0001084	268	567
HP:0001085	310	1236
HP:0001087	377	377
HP:0001088	876	876
HP:0001089	621	279
HP:0001090	541	541
HP:0001092	10	1188
HP:0001093	931	931
HP:0001094	258	911
HP:0001095	88	182
HP:0001096	645	645
HP:0001097	645	645
HP:0001098	636	1274
HP:0001099	101	197
HP:0001100	876	876
HP:0001101	621	279
HP:0001102	105	604
HP:0001103	152	114
HP:0001104	371	1003
HP:0001105	220	283
HP:0001106	138	223
HP:0001107	876	876
HP:0001112	931	931
HP:0001114	605	605
HP:0001115	77	1108
HP:0001116	152	114
HP:0001117	766	382
HP:0001118	77	1054
HP:0001119	896	896
HP:0001120	124	1294
HP:0001123	207	103
HP:0001125	740	1404
HP:0001126	734	734
HP:0001128	909	112
HP:0001129	207	103
HP:0001131	124	579
HP:0001132	311	311
HP:0001133	207	103
HP:0001134	77	1108
HP:0001135	179	332
HP:0001136	88	143
HP:0001137	267	133
HP:0001138	931	931
HP:0001139	101	197
HP:0001140	94	515
HP:0001141	766	382
HP:0001142	883	883
HP:0001144	663	1327
HP:0001147	773	386
HP:0001149	124	579
HP:0001151	569	1140
HP:0001152	569	1140
HP:0001153	160	378
HP:0001155	802	802
HP:0001156	715	715
HP:0001159	367	505
HP:0001161	479	1287
HP:0001162	676	676
HP:0001163	51	269
HP:0001166	49	209
HP:0001167	802	802
HP:0001169	135	40
HP:0001171	177	1354
HP:0001172	328	163
HP:0001176	841	1330
HP:0001177	479	191
HP:0001178	893	893
HP:0001180	976	487
HP:0001181	328	163
HP:0001182	49	209
HP:0001187	131	289
HP:0001188	841	1330
HP:0001191	76	294
HP:0001193	100	493
HP:0001194	239	1106
HP:0001195	225	1428
HP:0001196	547	273
HP:0001197	239	1106
HP:0001199	136	1328
HP:0001204	640	640
HP:0001211	49	209
HP:0001212	677	338
HP:0001215	276	137
HP:0001216	390	192
HP:0001217	367	505
HP:0001218	314	171
HP:0001220	276	137
HP:0001222	357	741
HP:0001223	51	269
HP:0001225	487	243
HP:0001227	893	893
HP:0001230	51	269
HP:0001231	44	347
HP:0001232	44	347
HP:0001233	317	18
HP:0001234	100	146
HP:0001238	49	209
HP:0001239	487	243
HP:0001241	76	294
HP:0001245	893	893
HP:0001248	428	1429
HP:0001249	738	1477
HP:0001250	879	879
HP:0001251	519	1040
HP:0001252	250	1195
HP:0001254	465	232
HP:0001256	62	739
HP:0001257	741	370
HP:0001258	741	370
HP:0001259	465	232
HP:0001260	245	637
HP:0001262	465	232
HP:0001263	472	472
HP:0001264	741	370
HP:0001265	831	831
HP:0001266	898	898
HP:0001268	962	962
HP:0001269	32	367
HP:0001270	655	81
HP:0001271	159	253
HP:0001272	697	1395
HP:0001273	397	397
